purchase_request_id,request_code,project_id,requester_person_id,item_name,amount_krw,status,approval_required,budget_check_status,created_at
PR-0064,PR-2026-0064,PJ-0004,P-0007,GPU workstation component,3986832,approved,true,ok,2026-05-11T00:00:00
PR-0065,PR-2026-0065,PJ-0005,P-0005,Thermal camera module,5945836,received,true,ok,2026-06-23T00:00:00
PR-0066,PR-2026-0066,PJ-0003,P-0022,Industrial camera lens,126968373,rejected,true,over_budget,2026-06-16T00:00:00
PR-0067,PR-2026-0067,PJ-0005,P-0016,Pressure sensor,1558508,pending,true,ok,2026-08-21T00:00:00
PR-0068,PR-2026-0068,PJ-0004,P-0004,Industrial camera lens,123345338,pending,true,over_budget,2026-05-27T00:00:00
PR-0069,PR-2026-0069,PJ-0003,P-0025,Conference registration,127245146,pending,true,over_budget,2026-06-06T00:00:00
PR-0070,PR-2026-0070,PJ-0002,P-0008,GPU workstation component,54317700,rejected,true,over_budget,2026-06-24T00:00:00
PR-0071,PR-2026-0071,PJ-0002,P-0025,Edge AI box,51849559,pending,true,over_budget,2026-07-11T00:00:00
PR-0072,PR-2026-0072,PJ-0008,P-0015,Thermal camera module,58158234,pending,true,over_budget,2026-05-18T00:00:00
PR-0073,PR-2026-0073,PJ-0005,P-0013,Pressure sensor,121581321,pending,true,over_budget,2026-07-15T00:00:00
PR-0074,PR-2026-0074,PJ-0008,P-0017,Thermal camera module,57425930,pending,true,over_budget,2026-08-13T00:00:00
PR-0075,PR-2026-0075,PJ-0004,P-0004,Edge AI box,4660522,paid,true,ok,2026-07-01T00:00:00
PR-0076,PR-2026-0076,PJ-0008,P-0025,Experiment fixture,4165786,approved,true,ok,2026-06-22T00:00:00
PR-0077,PR-2026-0077,PJ-0007,P-0004,NAS storage expansion,206349877,pending,true,over_budget,2026-04-15T00:00:00
PR-0078,PR-2026-0078,PJ-0008,P-0009,GPU workstation component,4998854,approved,true,ok,2026-06-03T00:00:00
PR-0079,PR-2026-0079,PJ-0004,P-0015,Vibration sensor kit,124681115,rejected,true,over_budget,2026-05-16T00:00:00
PR-0080,PR-2026-0080,PJ-0004,P-0025,Industrial camera lens,5952115,approved,true,ok,2026-06-30T00:00:00
