publication_id,title,project_id,dataset_id,model_id,experiment_id,authors,type,status,target_venue,year,reproducibility_package_status,doi_like_id,code_commit,artifact_path
PUB-0021,Synthetic Paper 021: System anomaly detection with AI-Based Analytics,PJ-0008,,,,"Author_008, Author_012, Author_003, Author_020",journal,accepted,Synthetic KIIE Conference,2027,incomplete,10.9999/synth.dais.2026.0021,,
PUB-0022,Synthetic Paper 022: BESS safety AI with AI-Based Analytics,PJ-0001,DS-0027,MDL-0009,EXP-0103,"Author_007, Author_017",conference,draft,Synthetic Journal of Industrial AI,2026,pending,10.9999/synth.dais.2026.0022,a4e88fb8cff5,minio://synthetic-dais/publications/PUB-0022/
PUB-0023,Synthetic Paper 023: Welding inspection AI with AI-Based Analytics,PJ-0003,DS-0041,MDL-0035,EXP-0002,"Author_006, Author_003",conference,accepted,Synthetic KIIE Conference,2027,complete,10.9999/synth.dais.2026.0023,05f09dd5e74f,minio://synthetic-dais/publications/PUB-0023/
PUB-0024,Synthetic Paper 024: Cyber-physical systems with AI-Based Analytics,PJ-0004,DS-0045,MDL-0025,EXP-0034,"Author_003, Author_018",conference,published,Synthetic IEEE Venue,2027,complete,10.9999/synth.dais.2026.0024,da85a7617c9f,minio://synthetic-dais/publications/PUB-0024/
PUB-0025,Synthetic Paper 025: Semiconductor digital twin with AI-Based Analytics,PJ-0005,DS-0003,MDL-0021,EXP-0109,"Author_013, Author_019, Author_001, Author_009, Author_006",conference,published,Synthetic Journal of Industrial AI,2026,pending,10.9999/synth.dais.2026.0025,9c34e9c4ad25,minio://synthetic-dais/publications/PUB-0025/
PUB-0026,Synthetic Paper 026: Semiconductor digital twin with AI-Based Analytics,PJ-0005,DS-0004,MDL-0023,EXP-0051,"Author_018, Author_019, Author_009, Author_015",conference,published,Synthetic KIIE Conference,2026,complete,10.9999/synth.dais.2026.0026,6081e4711ea5,minio://synthetic-dais/publications/PUB-0026/
PUB-0027,Synthetic Paper 027: System anomaly detection with AI-Based Analytics,PJ-0008,DS-0036,MDL-0034,EXP-0071,"Author_016, Author_004",conference,idea,Synthetic KIIE Conference,2026,pending,10.9999/synth.dais.2026.0027,550220229abf,minio://synthetic-dais/publications/PUB-0027/
PUB-0028,Synthetic Paper 028: Cyber-physical systems with AI-Based Analytics,PJ-0004,DS-0045,MDL-0019,EXP-0108,"Author_009, Author_008",conference,idea,Synthetic KIIE Conference,2027,complete,10.9999/synth.dais.2026.0028,903d8347159f,minio://synthetic-dais/publications/PUB-0028/
PUB-0029,Synthetic Paper 029: Welding inspection AI with AI-Based Analytics,PJ-0003,DS-0005,MDL-0031,EXP-0054,"Author_006, Author_007, Author_016, Author_007",journal,draft,Synthetic KIIE Conference,2026,complete,10.9999/synth.dais.2026.0029,4773df781874,minio://synthetic-dais/publications/PUB-0029/
PUB-0030,Synthetic Paper 030: Cyber-physical systems with AI-Based Analytics,PJ-0004,,,,"Author_004, Author_003",technical_report,accepted,Synthetic IEEE Venue,2026,incomplete,10.9999/synth.dais.2026.0030,,
