invoice_id,invoice_code,supplier_name,business_registration_no,project_id,purchase_request_id,amount_krw,vat_krw,issue_date,source_file,confidence
INV-0015,INV-2026-0015,Ulsan Sensor Co.,502-83-82045,,,54317700,5431770,2026-08-04,synthetic_invoice_0015.pdf,0.62
INV-0016,INV-2026-0016,Synthetic Data Services Korea,304-22-13373,,,5343642,534364,2026-05-23,synthetic_invoice_0016.pdf,0.62
INV-0017,INV-2026-0017,Gyeongnam Robotics Parts,582-72-96643,PJ-0002,PR-0038,51668183,5166818,2026-06-07,synthetic_invoice_0017.pdf,0.59
INV-0018,INV-2026-0018,Korea Vision Systems,556-15-44510,,,54317700,5431770,2026-07-22,synthetic_invoice_0018.pdf,0.75
INV-0019,INV-2026-0019,Ulsan Sensors Ltd.,187-95-55061,PJ-0003,PR-0029,123396676,12339667,2026-10-24,synthetic_invoice_0019.pdf,0.78
INV-0020,INV-2026-0020,Gyeongnam Robotics Parts,648-97-72236,,,4165786,416578,2026-08-25,synthetic_invoice_0020.pdf,0.93
INV-0021,INV-2026-0021,Korea Vision Systems,223-67-32659,,,391323,39132,2026-05-13,synthetic_invoice_0021.pdf,0.97
INV-0022,INV-2026-0022,Busan Industrial AI Tools,942-90-29382,,,3752343,375234,2026-10-31,synthetic_invoice_0022.pdf,0.81
INV-0023,INV-2026-0023,Gyeongnam Robotics Parts,669-60-82358,PJ-0007,PR-0041,5551249,555124,2026-06-23,synthetic_invoice_0023.pdf,0.92
INV-0024,INV-2026-0024,Gyeongnam Robotics Parts,215-63-29613,PJ-0005,PR-0067,5326588,532658,2026-05-08,synthetic_invoice_0024.pdf,0.79
INV-0025,INV-2026-0025,Ulsan Sensors Ltd.,904-46-80206,PJ-0004,PR-0075,4820133,482013,2026-06-28,synthetic_invoice_0025.pdf,0.93
INV-0026,INV-2026-0026,Ulsan Sensor Co.,276-45-62818,,PR-0034,4374185,437418,2026-05-07,synthetic_invoice_0026.pdf,0.82
INV-0027,INV-2026-0027,Busan Industrial AI Tools,150-70-45203,,PR-0052,485276,48527,2026-07-05,synthetic_invoice_0027.pdf,0.56
INV-0028,INV-2026-0028,Ulsan Sensors Ltd.,989-39-27614,,PR-0039,5844955,584495,2026-06-16,synthetic_invoice_0028.pdf,0.97
INV-0029,INV-2026-0029,Ulsan Sensors Ltd.,292-66-37707,PJ-0005,,124995789,12499578,2026-10-28,synthetic_invoice_0029.pdf,0.73
INV-0030,INV-2026-0030,Korea Vision Systems,167-49-76426,PJ-0002,PR-0063,4422395,442239,2026-07-13,synthetic_invoice_0030.pdf,0.61
INV-0031,INV-2026-0031,Busan Industrial AI Tools,957-17-42701,PJ-0004,,123345338,12334533,2026-04-09,synthetic_invoice_0031.pdf,0.75
INV-0032,INV-2026-0032,Gyeongnam Robotics Parts,750-25-99282,PJ-0001,,4337307,433730,2026-04-08,synthetic_invoice_0032.pdf,0.65
INV-0033,INV-2026-0033,Seoul GPU Market,452-30-43903,PJ-0002,,5023108,502310,2026-10-09,synthetic_invoice_0033.pdf,0.91
INV-0034,INV-2026-0034,Busan Industrial AI Tools,977-38-94853,,,1835961,183596,2026-05-28,synthetic_invoice_0034.pdf,0.84
INV-0035,INV-2026-0035,Ulsan Sensor Co.,585-26-94852,PJ-0004,PR-0035,6538866,653886,2026-05-15,synthetic_invoice_0035.pdf,0.81
INV-0036,INV-2026-0036,Daejeon Simulation Works,533-58-55706,,PR-0002,6078900,607890,2026-07-27,synthetic_invoice_0036.pdf,0.66
INV-0037,INV-2026-0037,Ulsan Sensors Ltd.,107-75-96816,,PR-0060,1196460,119646,2026-07-05,synthetic_invoice_0037.pdf,0.79
INV-0038,INV-2026-0038,Ulsan Sensors Ltd.,444-45-93964,PJ-0007,,206349877,20634987,2026-06-23,synthetic_invoice_0038.pdf,0.92
INV-0039,INV-2026-0039,Busan Industrial AI Tools,253-76-41496,PJ-0004,PR-0034,4374185,437418,2026-04-15,synthetic_invoice_0039.pdf,0.9
INV-0040,INV-2026-0040,Ulsan Sensor Co.,771-73-48745,PJ-0007,,206349877,20634987,2026-06-06,synthetic_invoice_0040.pdf,0.94
INV-0041,INV-2026-0041,Busan Industrial AI Tools,451-38-99957,,,485276,48527,2026-08-15,synthetic_invoice_0041.pdf,0.82
INV-0042,INV-2026-0042,Korea Vision Systems,960-94-83170,PJ-0007,PR-0061,2836796,283679,2026-05-17,synthetic_invoice_0042.pdf,0.68
INV-0043,INV-2026-0043,Korea Vision Systems,796-52-95778,,,6499821,649982,2026-04-23,synthetic_invoice_0043.pdf,0.65
INV-0044,INV-2026-0044,Seoul GPU Market,366-84-48541,PJ-0003,,2879289,287928,2026-07-28,synthetic_invoice_0044.pdf,0.92
INV-0045,INV-2026-0045,Ulsan Sensors Ltd.,583-34-75598,,PR-0061,2836796,283679,2026-05-01,synthetic_invoice_0045.pdf,0.92
INV-0046,INV-2026-0046,Korea Vision Systems,305-53-63633,PJ-0001,,1364821,136482,2026-08-24,synthetic_invoice_0046.pdf,0.93
INV-0047,INV-2026-0047,Ulsan Sensors Ltd.,599-52-92710,,PR-0059,5445352,544535,2026-05-16,synthetic_invoice_0047.pdf,0.68
INV-0048,INV-2026-0048,Korea Vision Systems,601-21-26961,,,1514367,151436,2026-09-05,synthetic_invoice_0048.pdf,0.74
INV-0049,INV-2026-0049,Ulsan Sensor Co.,646-35-58903,PJ-0004,PR-0055,4684871,468487,2026-04-04,synthetic_invoice_0049.pdf,0.93
INV-0050,INV-2026-0050,Busan Industrial AI Tools,331-98-55134,,PR-0068,123345338,12334533,2026-06-19,synthetic_invoice_0050.pdf,0.61
INV-0051,INV-2026-0051,Ulsan Sensor Co.,405-47-69759,PJ-0003,,128035849,12803584,2026-10-04,synthetic_invoice_0051.pdf,0.77
INV-0052,INV-2026-0052,Synthetic Data Services Korea,467-34-31611,,PR-0068,2975051,297505,2026-10-25,synthetic_invoice_0052.pdf,0.72
INV-0053,INV-2026-0053,Ulsan Sensor Co.,703-74-32149,,PR-0030,1887238,188723,2026-05-02,synthetic_invoice_0053.pdf,0.71
INV-0054,INV-2026-0054,Ulsan Sensor Co.,708-16-96765,,PR-0005,5327233,532723,2026-04-28,synthetic_invoice_0054.pdf,0.83
INV-0055,INV-2026-0055,Ulsan Sensors Ltd.,660-42-72180,,,1276892,127689,2026-09-27,synthetic_invoice_0055.pdf,0.62
INV-0056,INV-2026-0056,Daejeon Simulation Works,737-87-27978,,PR-0002,4182485,418248,2026-07-17,synthetic_invoice_0056.pdf,0.91
INV-0057,INV-2026-0057,Ulsan Sensors Ltd.,609-35-89823,PJ-0005,PR-0014,4415225,441522,2026-05-22,synthetic_invoice_0057.pdf,0.88
INV-0058,INV-2026-0058,Korea Vision Systems,140-80-75058,PJ-0005,,1558508,155850,2026-05-24,synthetic_invoice_0058.pdf,0.85
INV-0059,INV-2026-0059,Ulsan Sensors Ltd.,955-83-97690,,,1241788,124178,2026-08-05,synthetic_invoice_0059.pdf,0.61
INV-0060,INV-2026-0060,Daejeon Simulation Works,759-39-69867,PJ-0003,,1835961,183596,2026-06-15,synthetic_invoice_0060.pdf,0.66
INV-0061,INV-2026-0061,Daejeon Simulation Works,468-96-50987,,,129309978,12930997,2026-07-19,synthetic_invoice_0061.pdf,0.87
INV-0062,INV-2026-0062,Korea Vision Systems,779-92-32349,PJ-0005,PR-0013,1512451,151245,2026-06-24,synthetic_invoice_0062.pdf,0.7
INV-0063,INV-2026-0063,Seoul GPU Market,934-53-33969,PJ-0005,,124995789,12499578,2026-04-30,synthetic_invoice_0063.pdf,0.72
INV-0064,INV-2026-0064,Gyeongnam Robotics Parts,764-31-24818,,,6810039,681003,2026-05-04,synthetic_invoice_0064.pdf,0.85
INV-0065,INV-2026-0065,Synthetic Data Services Korea,921-82-98918,PJ-0006,PR-0008,449054,44905,2026-07-22,synthetic_invoice_0065.pdf,0.63
INV-0066,INV-2026-0066,Korea Vision Systems,594-72-24802,PJ-0001,PR-0049,7481557,748155,2026-07-15,synthetic_invoice_0066.pdf,0.74
INV-0067,INV-2026-0067,Busan Industrial AI Tools,785-53-78039,,,205152891,20515289,2026-08-12,synthetic_invoice_0067.pdf,0.85
INV-0068,INV-2026-0068,Seoul GPU Market,779-96-94070,,PR-0080,5952115,595211,2026-07-08,synthetic_invoice_0068.pdf,0.61
INV-0069,INV-2026-0069,Korea Vision Systems,617-70-74990,PJ-0008,PR-0072,58158234,5815823,2026-05-13,synthetic_invoice_0069.pdf,0.58
INV-0070,INV-2026-0070,Busan Industrial AI Tools,663-92-59628,,,56268604,5626860,2026-07-13,synthetic_invoice_0070.pdf,0.9
INV-0071,INV-2026-0071,Synthetic Data Services Korea,557-50-25559,PJ-0006,PR-0011,5219247,521924,2026-08-06,synthetic_invoice_0071.pdf,0.87
INV-0072,INV-2026-0072,Ulsan Sensor Co.,945-21-89194,,,1276892,127689,2026-09-06,synthetic_invoice_0072.pdf,0.82
INV-0073,INV-2026-0073,Seoul GPU Market,472-16-39218,PJ-0003,PR-0066,126968373,12696837,2026-07-26,synthetic_invoice_0073.pdf,0.69
INV-0074,INV-2026-0074,Synthetic Data Services Korea,216-22-96364,PJ-0004,PR-0080,5952115,595211,2026-05-27,synthetic_invoice_0074.pdf,0.55
INV-0075,INV-2026-0075,Seoul GPU Market,818-23-16000,PJ-0002,PR-0046,52293020,5229302,2026-05-13,synthetic_invoice_0075.pdf,0.76
INV-0076,INV-2026-0076,Gyeongnam Robotics Parts,320-68-34979,,PR-0053,128662929,12866292,2026-10-01,synthetic_invoice_0076.pdf,0.7
INV-0077,INV-2026-0077,Ulsan Sensors Ltd.,890-67-69950,,PR-0054,2134942,213494,2026-09-16,synthetic_invoice_0077.pdf,0.8
INV-0078,INV-2026-0078,Ulsan Sensor Co.,666-65-86692,,PR-0065,5945836,594583,2026-08-02,synthetic_invoice_0078.pdf,0.95
INV-0079,INV-2026-0079,Gyeongnam Robotics Parts,773-86-89450,PJ-0001,,968673,96867,2026-06-22,synthetic_invoice_0079.pdf,0.77
INV-0080,INV-2026-0080,Busan Industrial AI Tools,380-60-54939,PJ-0003,PR-0050,128035849,12803584,2026-06-15,synthetic_invoice_0080.pdf,0.74
INV-0081,INV-2026-0081,Daejeon Simulation Works,963-99-81802,,PR-0018,4397438,439743,2026-06-20,synthetic_invoice_0081.pdf,0.86
INV-0082,INV-2026-0082,Daejeon Simulation Works,803-54-98129,PJ-0002,,51849559,5184955,2026-05-04,synthetic_invoice_0082.pdf,0.97
INV-0083,INV-2026-0083,Ulsan Sensors Ltd.,879-55-83699,PJ-0001,PR-0023,3688640,368864,2026-08-01,synthetic_invoice_0083.pdf,0.8
INV-0084,INV-2026-0084,Gyeongnam Robotics Parts,927-11-78515,PJ-0005,PR-0054,2134942,213494,2026-04-28,synthetic_invoice_0084.pdf,0.56
INV-0085,INV-2026-0085,Korea Vision Systems,393-97-42841,,,881328,88132,2026-05-08,synthetic_invoice_0085.pdf,0.91
INV-0086,INV-2026-0086,Synthetic Data Services Korea,204-88-98542,,PR-0038,51668183,5166818,2026-10-07,synthetic_invoice_0086.pdf,0.79
INV-0087,INV-2026-0087,Daejeon Simulation Works,809-95-16157,PJ-0003,PR-0029,123396676,12339667,2026-07-07,synthetic_invoice_0087.pdf,0.72
INV-0088,INV-2026-0088,Busan Industrial AI Tools,735-66-39563,PJ-0007,,5551249,555124,2026-09-10,synthetic_invoice_0088.pdf,0.85
INV-0089,INV-2026-0089,Busan Industrial AI Tools,401-67-33255,PJ-0002,PR-0048,5754932,575493,2026-09-22,synthetic_invoice_0089.pdf,0.58
INV-0090,INV-2026-0090,Daejeon Simulation Works,669-43-27048,PJ-0001,,3688640,368864,2026-05-12,synthetic_invoice_0090.pdf,0.8
